timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
113.00;34.287398;flow_2.2;188044903#1_0;23.958393;0.000000;0.000000;vehDist45;13.416475;52.521689
114.00;304.813499;flow_2.0;47016365#1_0;62.581259;0.000000;6.356000;vehDist71;13.415626;52.522630
114.00;304.813499;flow_2.1;47016365#1_0;36.938463;0.000000;5.343000;vehDist74;13.415933;52.522492
114.00;34.287398;flow_2.2;188044903#1_0;23.958393;0.000000;0.000000;vehDist45;13.416475;52.521689
115.00;304.813499;flow_2.0;47016365#1_0;68.860804;0.000000;6.356000;vehDist71;13.415551;52.522664
115.00;304.813499;flow_2.1;47016365#1_0;42.217194;0.000000;5.343000;vehDist74;13.415870;52.522520
115.00;34.287398;flow_2.2;188044903#1_0;23.958393;0.000000;0.000000;vehDist45;13.416475;52.521689
116.00;308.014464;flow_2.0;:1566942204_0_0;0.236804;0.000000;6.356000;vehDist71;13.415476;52.522698
116.00;304.813499;flow_2.1;47016365#1_0;47.495925;0.000000;5.343000;vehDist74;13.415807;52.522549
116.00;34.287398;flow_2.2;188044903#1_0;23.958393;0.000000;0.000000;vehDist45;13.416475;52.521689
117.00;310.013666;flow_2.0;301241483#1_0;1.612804;0.000000;6.356000;vehDist71;13.415403;52.522733
117.00;304.813499;flow_2.1;47016365#1_0;52.774655;0.000000;5.343000;vehDist74;13.415744;52.522577
117.00;34.287398;flow_2.2;188044903#1_0;23.958393;0.000000;0.000000;vehDist45;13.416475;52.521689
118.00;309.752808;flow_2.0;301241483#3_0;0.038804;0.000000;6.356000;vehDist71;13.415329;52.522769
118.00;304.813499;flow_2.1;47016365#1_0;58.053386;0.000000;5.343000;vehDist74;13.415681;52.522606
118.00;34.287398;flow_2.2;188044903#1_0;23.958393;0.000000;0.000000;vehDist45;13.416475;52.521689
119.00;309.224345;flow_2.0;301241483#3_0;6.394804;0.000000;6.356000;vehDist71;13.415255;52.522804
119.00;304.813499;flow_2.1;47016365#1_0;63.332117;0.000000;5.343000;vehDist74;13.415617;52.522635
119.00;34.287398;flow_2.2;188044903#1_0;23.958393;0.000000;0.000000;vehDist45;13.416475;52.521689
120.00;308.713214;flow_2.0;728838409#0_0;5.640804;0.000000;6.356000;vehDist71;13.415181;52.522839
